,census_tract_code,year,arrests_B,arrests_W,arrests_total,state,county,ct_pop,ct_white,ct_black,pct_white,pct_black,b_arr_pct_total,w_arr_pct_total,tot_arr_pct_total,tot_arr_pct_co_pop,w_arr_pct_co_pop,b_arr_pct_co_pop,w_arr_pct_w_pop,b_arr_pct_b_pop,rTot,rB,rW,eTot,eB,eW,sir_total,sir_black,sir_white,total_effects,white_effects,black_effects
69,10700,2015,84,89,173,37,129,4435,2314,1761,0.521758737,0.397068771,48.58463316,51.47313692,100,3.900701224,2.006719127,1.893982097,3.845987641,4.769746181,0.03416607,0.016395397,0.017582894,151.6265185,28.97229437,40.78681776,1.140961368,2.899321639,2.182077565,1.01261259,0.93728994,0.57666141
70,10700,2016,84,88,174,37,129,4409,2350,1667,0.53300068,0.37809027,48.30557151,50.60310167,100,3.946383616,1.995872173,1.905150711,3.74452151,5.038689941,0.03416607,0.016395397,0.017582894,150.7382007,27.43112704,41.41980196,1.154319205,3.062214683,2.124587657,7.47587213,5.99995335,3.81128631
71,10700,2017,95,131,226,37,129,4511,2485,1674,0.550875637,0.371092884,42.06103494,57.98319328,100,5.009864556,2.903948039,2.105916517,5.271417649,5.674690879,0.03416607,0.016395397,0.017582894,154.2231398,27.54589482,43.79349272,1.465409148,3.448789761,2.991311994,0.699259,0.79318951,1.74955709
72,10700,2018,102,148,251,37,129,4593,2377,1910,0.517526671,0.415850207,40.6610912,58.98048586,100,5.464718817,3.222224641,2.220722388,6.226073787,5.340034553,0.03416607,0.016395397,0.017582894,157.0247575,31.41520855,41.89454011,1.598474049,3.246835043,3.532679905,16.57152751,14.77415308,33.60909729
73,10800,2010,76,103,181,37,129,2885,1388,665,0.481109185,0.2305026,42.02098288,56.929873,100,6.2736127,3.570066895,2.634224117,7.420214682,11.4268531,0.03416607,0.016395397,0.017582894,98.6691107,11.0029391,24.5050575,1.83441402,6.907245355,4.203213969,2.03334357,2.26287704,0.89582052
74,10800,2011,58,126,185,37,129,2760,1355,649,0.490942029,0.235144928,31.38843868,68.12533766,100,6.702655701,4.565051991,2.101373139,9.298206774,8.935449083,0.03416607,0.016395397,0.017582894,94.39835201,10.74061275,23.92482198,1.959779976,5.400064351,5.266496866,0.46968648,0.57592035,0.62394735
75,10800,2012,81,133,216,37,129,2259,1387,540,0.61398849,0.239043825,37.5289218,61.59185562,100,9.561329733,5.887300252,3.58549865,9.588349795,14.99722274,0.03416607,0.016395397,0.017582894,77.28115115,8.953514458,24.48747461,2.794989422,9.046726889,5.431348154,2.28338579,2.97579674,1.17183617
76,10800,2013,60,114,174,37,129,2420,1698,275,0.701652893,0.113636364,34.52039058,65.53704767,100,7.189785546,4.710549151,2.479236395,6.713385549,21.81025082,0.03416607,0.016395397,0.017582894,82.78188835,4.608734215,29.95575478,2.101909046,13.01875899,3.805612672,5.66817039,5.9186528,12.81483796
77,10800,2014,56,112,168,37,129,2153,1431,330,0.664653971,0.153274501,33.37299227,66.68649613,100,7.802703079,5.201802053,2.600901026,7.826147719,16.9645562,0.03416607,0.016395397,0.017582894,73.65954778,5.510481058,25.26112196,2.280763391,10.16245214,4.43369064,0.52896954,0.74229532,0.32781202
78,10800,2015,29,99,132,37,129,2497,1769,304,0.70845014,0.121746095,22.02876609,75.01892506,100,5.286131913,3.964598935,1.161347163,5.596065796,9.536336731,0.03416607,0.016395397,0.017582894,85.41267571,5.084200732,31.20414029,1.545438062,5.703944736,3.172655907,1.46127305,1.48546342,0.56154539
79,10800,2016,56,126,188,37,129,2699,1781,414,0.659874027,0.153390144,29.8245614,67.03880914,100,6.965284725,4.668222741,2.074765663,7.074279939,13.52330355,0.03416607,0.016395397,0.017582894,92.31422176,6.887694418,31.41513502,2.036522612,8.130442003,4.010805617,1.06248867,1.28938643,1.11430214
80,10800,2017,52,132,185,37,129,2644,1775,425,0.671331316,0.160741301,28.1469476,71.36682874,100,6.996709655,4.992246889,1.966642714,7.436200777,12.2324159,0.03416607,0.016395397,0.017582894,90.43508794,7.068043786,31.30963765,2.04566617,7.357056857,4.215954252,1.65110829,2.20533574,0.51770383
81,10800,2018,61,165,233,37,129,2907,1817,558,0.625043,0.191950464,26.21192621,70.82797083,100,8.01486017,5.675759348,2.098311032,9.08040284,10.92994087,0.03416607,0.016395397,0.017582894,99.42076423,9.248631606,32.04811922,2.343574824,6.595570307,5.148508056,1.09704817,1.41979173,0.40943843
82,10900,2010,24,69,94,37,129,2163,1990,65,0.920018493,0.030050855,25.61105207,73.4325186,100,4.345615089,3.189866395,1.109518746,3.467162454,36.86635945,0.03416607,0.016395397,0.017582894,74.00120848,1.165700814,35.08995996,1.270249526,20.58847322,1.966374429,0.10986881,0.14014372,0.33281633
83,10900,2011,15,104,119,37,129,2252,2001,99,0.888543517,0.043960924,12.67842149,87.40554156,100,5.283957196,4.617912171,0.666045025,5.197141572,15.13622603,0.03416607,0.016395397,0.017582894,77.04198867,1.723144317,35.2833718,1.544612257,8.705016666,2.947564099,2.15204835,2.6728698,0.26983597
84,10900,2012,13,65,79,37,129,2197,2040,71,0.928538917,0.032316796,16.56131479,82.30088496,100,3.59564881,2.958445223,0.591689045,3.186118328,18.28410689,0.03416607,0.016395397,0.017582894,75.16285484,1.264073197,35.96910468,1.051051083,10.28421458,1.80710642,0.68219294,0.687225,0.95772898
